segment,K,lags,lambda_f,lambda_x,lambda_w,alpha,eta,rmse,runtime
31,1,[1],0.1,0.1,0.1,100,1.0,1.7388789326716103,3.013935089111328
0,1,[1],0.1,0.1,0.1,100,10.0,0.8569376479221593,2.898245096206665
1,1,[1],0.1,0.1,0.1,100,10.0,0.939730478942652,2.852367877960205
2,1,[1],0.1,0.1,0.1,100,10.0,0.473981582206711,3.192458152770996
3,1,[1],0.1,0.1,0.1,100,10.0,3.242329145913853,3.104691505432129
4,1,[1],0.1,0.1,0.1,100,10.0,1.7384811765092494,3.1665258407592773
5,1,[1],0.1,0.1,0.1,100,10.0,1.458122960838692,3.0448524951934814
6,1,[1],0.1,0.1,0.1,100,10.0,1.0979374926319634,2.963071584701538
7,1,[1],0.1,0.1,0.1,100,10.0,1.0468176919202246,3.103694200515747
8,2,[1],0.1,0.1,0.1,100,10.0,0.6186330702719093,3.9185142517089844
9,1,[1],0.1,0.1,0.1,100,10.0,0.6337452319423746,2.8423879146575928
10,1,[1],0.1,0.1,0.1,100,10.0,1.1059361331923494,2.818457841873169
11,1,[1],0.1,0.1,0.1,100,10.0,1.014589504807293,2.8473806381225586
12,1,[1],0.1,0.1,0.1,100,10.0,0.8457599451077058,2.7965164184570312
13,1,[1],0.1,0.1,0.1,100,10.0,1.23926601962358,2.8673255443573
14,2,[1],0.1,0.1,0.1,100,10.0,1.0339544312775757,3.3959128856658936
15,1,[1],0.1,0.1,0.1,100,10.0,1.6987457590809192,2.805492877960205
16,2,[1],0.1,0.1,0.1,100,10.0,0.6952810648497243,3.3430535793304443
17,1,[1],0.1,0.1,0.1,100,10.0,0.962702500924699,2.9042282104492188
18,1,[1],0.1,0.1,0.1,100,10.0,0.8006394225219509,2.7985117435455322
19,4,[1],0.1,0.1,0.1,100,10.0,0.4725935027192258,3.6831436157226562
20,1,[1],0.1,0.1,0.1,100,10.0,0.9131051762548104,2.8134706020355225
21,1,[1],0.1,0.1,0.1,100,10.0,0.8770242687000848,2.8354132175445557
22,1,[1],0.1,0.1,0.1,100,10.0,0.9822912412958327,2.7675940990448
23,2,[1],0.1,0.1,0.1,100,10.0,1.6648093300248783,3.444782018661499
24,1,[1],0.1,0.1,0.1,100,10.0,0.6580362412097625,2.8483779430389404
25,2,[1],0.1,0.1,0.1,100,10.0,0.8388549076627692,3.3999013900756836
26,1,[1],0.1,0.1,0.1,100,10.0,0.9313177392829078,2.7885379791259766
27,2,[1],0.1,0.1,0.1,100,10.0,1.785935329783265,3.3919239044189453
28,2,[1],0.1,0.1,0.1,100,10.0,0.5373271023225238,3.327097177505493
29,2,[1],0.1,0.1,0.1,100,10.0,1.1221946292116038,3.418851852416992
30,2,[1],0.1,0.1,0.1,100,10.0,0.701739264791234,3.3121373653411865
31,1,[1],0.1,0.1,0.1,100,10.0,1.7388581437956592,2.8064916133880615
0,1,[1],0.1,0.1,0.1,1000,0.1,0.8545938323574719,2.8214504718780518
1,1,[1],0.1,0.1,0.1,1000,0.1,0.9380517802489043,2.8703196048736572
